ID;TWEET;label;len emoji;len text;len letters;TWEET_clean
218;8888: اللهم ارزقه لذه النظر الي وجهك والشوق الي لقاءك اللهم ارجع نفسه اليك راضيه مرضيه  محمد الوهيب;sympathy;0;18;26;8888 اللهم ارزقه لذه النظر الي وجهك والشوق الي لقاءك اللهم ارجع نفسه اليك راضيه مرضيه محمد الوهيب
219;فيه واخد في الاوليمبياد في المصارعه ايراني اسمه سعيد مراد يا مطوبس :D;none;0;13;19;واخد الاوليمبياد المصارعه ايراني اسمه سعيد مراد مطوبس D
220;گلنا دشتي گلمه حق امام سلطان جائر;sadness;0;7;18;گلنا دشتي گلمه حق امام سلطان جائر
221;ملحمه حلب الكبري  بالامس تبجح الروس  عن ممرات امنه للعبور  واليوم يبحث كلاب النظام وايران عن ممرات امنه للهروب....;anger;0;19;19;ملحمه حلب الكبري بالامس تبجح الروس ممرات امنه للعبور واليوم يبحث كلاب النظام وايران ممرات امنه للهروب
222;دخله الاوليمبياد دي بتفكرني بالاسبوع الثقافي اللي كان عندنا 😍;none;1;10;20;دخله الاوليمبياد دي بتفكرني بالاسبوع الثقافي اللي عندنا 😍
223;فيليبس لوحده 22 ذهبيه في الاوليمبياد وممكن يزيدوا و الدول العربيه كلها علي مدار تاريخ الالعاب الاوليمبيه 24 ذهبيه علي الدنيا السلانكاتيه;none;0;22;22;فيليبس لوحده 22 ذهبيه الاوليمبياد وممكن يزيدوا الدول العربيه كلها علي مدار تاريخ الالعاب الاوليمبيه 24 ذهبيه علي الدنيا السلانكاتيه
224;: بنت مصر شرفت مصر ✌  ساره سمير  جبهه شعب مصر;joy;1;11;17;بنت مصر شرفت مصر ✌ ساره سمير جبهه شعب مصر
225;: تمت محاكمه من تحدث عن الفساد  متي نحاكم الفاسدين ومتي نتخذ خطوات ايجابيه للقضاء علي الفساد الذي استشري في مؤسسات... ht…;anger;0;22;32;تمت محاكمه تحدث الفساد متي نحاكم الفاسدين ومتي نتخذ خطوات ايجابيه للقضاء علي الفساد استشري مؤسسات ht…
226;الاوليمبياد دي برضه من الحاجات اللي واحد لازم يتفرج عليها;none;0;10;18;الاوليمبياد دي برضه الحاجات اللي لازم يتفرج عليها
227;مسائك اجمل;joy;0;2;8;مسائك اجمل
228;*الله اكبر الله اكبر لا اله الا الله* *الله اكبر الله اكبر ولله الحمد*  مبروك فك حصار حلب;joy;0;18;14;الله اكبر الله اكبر اله الا الله الله اكبر الله اكبر ولله الحمد مبروك فك حصار حلب
229;مش نا لي درتها ظلمتني محمد خويا☜♨;joy;1;7;17;مش درتها ظلمتني محمد خويا☜♨
230;يعني لاعب مصري يرفع العلم السعودي ليه هو انت مولود هناك ولا اصلا ايه فضل السعوديه عليك عشان ترفع علمها في الاوليمبياد اللاعب دا لازم يرجع;surprise;0;26;21;يعني لاعب مصري يرفع العلم السعودي ليه انت مولود اصلا ايه فضل السعوديه عشان ترفع علمها الاوليمبياد اللاعب دا لازم يرجع
231;لا تُـعطي قلبك لمن لا قلبَ له لانهُ حتماً سَـيَخذِلُك  ولا تُعطي حروفكَ لمن لا يقرا. لانهُ بلا شكّْ سَيُسيءُ فَهمكْ .;sadness;0;22;30;تـعطي قلبك لمن قلب لانه حتما سـيخذلك تعطي حروفك لمن يقرا لانه بلا شك سيسيء فهمك
232;tottie: كسم حازم امام ابن المره المتناكه كلب مرتضي;anger;0;9;20;tottie كسم حازم امام ابن المره المتناكه كلب مرتضي
233;انا كان بقالي كتير مرتاحه الي حد ما .. ايه كسره النفس دي !😑;surprise;1;14;19;انا بقالي كتير مرتاحه الي حد ايه كسره النفس دي 😑
234;انني خائفه جدًا، لا اعلم لماذا ! لازال قلبي علي قيد الحياه، لازالت دموعي تنهمر عندما اتذكرك..;fear;0;17;26;انني خائفه جدا، اعلم لماذا لازال قلبي علي قيد الحياه، لازالت دموعي تنهمر عندما اتذكرك
235;nada:  poyrazkarayel راح تظل دايما خايفه ومرعوبه ان شي سيء بيصير ان بيتركها او انه يمكن يموت وترجع تعيش نفس الشي من جديدوهذا الل…;fear;0;24;37;nada poyrazkarayel تظل دايما خايفه ومرعوبه ان شي سيء بيصير ان بيتركها او انه يمكن يموت وترجع تعيش الشي جديدوهذا الل…
236;Khalfan   يا بغل اللي دعاء رئيس البرلمان  وانت ويش دخلك في اليمن  وبعدين انت حارس قحاب متفهم في البرلمان انت حارس خمر وبس;anger;0;23;29;Khalfan بغل اللي دعاء رئيس البرلمان وانت ويش دخلك اليمن وبعدين انت حارس قحاب متفهم البرلمان انت حارس خمر وبس
237;السيسي يشيد بـ تجنب التخريب  ويكافئ المصريين بقرار صادم  سيسي  تخريب  مصريين  قرار;surprise;0;13;21;السيسي يشيد بـ تجنب التخريب ويكافئ المصريين بقرار صادم سيسي تخريب مصريين قرار
238;بلد محبوس فيها كاتب روائي لمده سنتين تقريباً، اسمه احمد ناجي بسبب فصل في روايه، والتهمه خدش الحياء العام، شخر وقول احا انت ساكت ليه..;anger;0;25;27;بلد محبوس كاتب روائي لمده سنتين تقريبا، اسمه احمد ناجي بسبب فصل روايه، والتهمه خدش الحياء العام، شخر وقول احا انت ساكت ليه
239;الحمدلله وباذن الله يفرح المسلمين بتحرير الشام اجمع  مبروك فك حصار حلب;joy;0;12;21;الحمدلله وباذن الله يفرح المسلمين بتحرير الشام اجمع مبروك فك حصار حلب
240;مش عارف بصراحه انا مجربتش;fear;0;5;14;مش عارف بصراحه انا مجربتش
241;بتعامل مع اخويا بمبدا  اذا جاء ميعاد المسلسل ... فعلي الاوليمبياد السلانكسيه 😂✋;none;2;13;22;بتعامل اخويا بمبدا اذا جاء ميعاد المسلسل فعلي الاوليمبياد السلانكسيه 😂✋
242;ليله ساره سمير برونزيه الاوليمبياد  مملكه العيله والدعم;none;0;8;15;ليله ساره سمير برونزيه الاوليمبياد مملكه العيله والدعم
243;خوف غريب زي لما تخاف الشخص يعافك من تصرفاتك وبنفس الوقت مو قادر تغير هالتصرفات.;fear;0;15;23;خوف غريب زي تخاف الشخص يعافك تصرفاتك وبنفس الوقت مو قادر تغير هالتصرفات
244;لو ماكانش في الاوليمبياد الا ماتش صربيا وامريكا في نص نهائي الكره الطائره سيدات كان هايبقي كفايه جداً. بس الروعه ان في بتاع 100 لحظه زي دي 😀;joy;1;28;30;ماكانش الاوليمبياد الا ماتش صربيا وامريكا نص نهائي الكره الطائره سيدات هايبقي كفايه جدا الروعه ان بتاع 100 لحظه زي دي 😀
245;ساكت من برا .. بس راديو من جوا;sadness;0;8;14;ساكت برا راديو جوا
246;: حال قحاب السعوديه بالشقق..يرقصونها وينيكونها اما بمشروب او بفلوس ..;anger;0;11;21;حال قحاب السعوديه بالشققيرقصونها وينيكونها اما بمشروب او بفلوس
247;انا عم بنتقد جوده الاغاني الجديده لاني بحبك وبيهمني تشوفي تعليقاتي لاني بيهمني تقدمي الافضل وبتمني ترجعي تتعاوني مع محمد الرفاعي ♥;love;1;22;22;انا عم بنتقد جوده الاغاني الجديده لاني بحبك وبيهمني تشوفي تعليقاتي لاني بيهمني تقدمي الافضل وبتمني ترجعي تتعاوني محمد الرفاعي ♥
248;: وقَنِعْتُ باللّقْيا واوّلِ نَظْرَهٍ انّ القَليلَ مِنَ الحَبيبِ كَثيرُ  شعر فصيح  شعر  فصيح  فصحي  ابيات خالده  ابيات…;love;0;18;30;وقنعت باللقيا واول نظره ان القليل الحبيب كثير شعر فصيح شعر فصيح فصحي ابيات خالده ابيات…
249;بس سيبك انت ... انا مبسوط باللي حصل انهارده و امبارح ...   محدش قالي عقبالك   :D =)));joy;0;17;25;سيبك انت انا مبسوط باللي حصل انهارده امبارح محدش قالي عقبالك D
250;ذعر في اليابان بسبب انذار خاطئ بزلزال مدمر;fear;0;8;17;ذعر اليابان بسبب انذار خاطئ بزلزال مدمر
251;فيها ايه خايف يقول وانا مش هقول كل اللي حاسه انا بيه;sadness;0;12;16;ايه خايف يقول وانا مش هقول اللي حاسه انا بيه
252;Rio2016 بحب اتفرج في الاوليمبياد علي العاب القوي والسباحه ورفع الاثقال;none;0;11;25;Rio2016 بحب اتفرج الاوليمبياد علي العاب القوي والسباحه ورفع الاثقال
253;صور:  اتهموا افعي بالتهام  ماشيتهم.. فعثروا علي  مفاجاه عند شق  بطنها المنتفخ!;surprise;0;12;24;صور اتهموا افعي بالتهام ماشيتهم فعثروا علي مفاجاه شق بطنها المنتفخ
254;الخيبه تاتي دائماً من الذين قدمنا لهم كل شئ ،،  خيبه  حقيقه;sadness;0;12;19;الخيبه تاتي دائما قدمنا شئ ،، خيبه حقيقه
255;العلاقات اللي بدوم و بتنحفر فالقلب و بتكون فريده و مش بتتوصف و لا بيتحكي عنها 💙  قلب  روح الطبيعه  ميزاني;love;1;21;22;العلاقات اللي بدوم بتنحفر فالقلب بتكون فريده مش بتتوصف بيتحكي عنها 💙 قلب روح الطبيعه ميزاني
256;فيه فيلم مرعب ابي اتفرج فيه وخايفه والله قبل لا اتفرج😩 هذا كبري ومازلت اخاف😩💔;fear;3;15;20;فيلم مرعب ابي اتفرج وخايفه والله اتفرج😩 كبري ومازلت اخاف😩💔
257;مطلعين فرسه من صاله المطار قدامي .. ايه الجمال دا;joy;0;10;17;مطلعين فرسه صاله المطار قدامي ايه الجمال دا
258;بقالي فتره كبيره محستش اني تعبانه و مهدوده بالشكل دا !! اللي هو في ايه بجد يعني !;surprise;0;18;21;بقالي فتره كبيره محستش اني تعبانه مهدوده بالشكل دا اللي ايه بجد يعني
259;رب ااغفر ﻻارواح رحلت ومازالت ذكراهم باقيه ، اللهم ارحمهم وتجاوز عنهم واسكنهم فردوسك اﻻعلي ،، يارب ،،  ساعه استجابه;sympathy;0;20;24;رب ااغفر ﻻارواح رحلت ومازالت ذكراهم باقيه ، اللهم ارحمهم وتجاوز عنهم واسكنهم فردوسك اﻻعلي ،، يارب ،، ساعه استجابه
260;جدا ان تقاطعهم لكي تجعلهم يشتاقون لك ثم تتفاجئ بان غيابك لم يشعر به احد ~~⚜;sadness;1;16;25;جدا ان تقاطعهم تجعلهم يشتاقون تتفاجئ بان غيابك يشعر احد ⚜
261;bin fahad: الامم المتحده تمنح جائزه     افضل ممثل لبلادها     للشابه السعوديه  رزان العقيل . مبروك علينا جميعاً ????????.;joy;0;18;35;bin fahad الامم المتحده تمنح جائزه افضل ممثل لبلادها للشابه السعوديه رزان العقيل مبروك علينا جميعا
262;احنا عندنا ناس حلوه بس محدش بيقدرها ومحدش بيشجعها ولا بيساعدها.وعلي الرغم من كده بينجحوا  ابطالنا في الاوليمبياد;surprise;0;18;22;احنا عندنا ناس حلوه محدش بيقدرها ومحدش بيشجعها بيساعدهاوعلي الرغم كده بينجحوا ابطالنا الاوليمبياد
263;Madaniah معليش تكون منطقي هالمقطع مركب او ماخوذ من فلم . لان بعصرناهاد كميرات التصوير بهالردائه؟؟!🤔🤔;surprise;2;16;32;Madaniah معليش تكون منطقي هالمقطع مركب او ماخوذ فلم لان بعصرناهاد كميرات التصوير بهالردائه؟؟🤔🤔
264;ادري انك صرت ضمن المستحيل بس قلبي رغم بعدك ... مـا نســاك وادري اني ممكـن القـي لك بديل بـس ويــن اللـي.. يسـاوي غــلاك♡  الحياه;love;0;24;23;ادري انك صرت ضمن المستحيل قلبي رغم بعدك مـا نســاك وادري اني ممكـن القـي بديل بـس ويــن اللـي يسـاوي غــلاك♡ الحياه
265;: اِسقنِي من فاكَ ي سّدي حُلو الشراب .. ففي شفتيكَ منبعُ السّكرْ ♥ ♬  يا عاشقي  بقلمي  خواطر  حبيبي  حب;love;1;21;29;اسقني فاك سدي حلو الشراب ففي شفتيك منبع السكر ♥ ♬ عاشقي بقلمي خواطر حبيبي حب
266;لا والله كان الله في عونهم ، الشباب تحديداً;sympathy;0;9;18;والله الله عونهم ، الشباب تحديدا
267;يا جدعان ممسوك ب 68 كيلو حشيش مٌتلبس. يطلع ازاي بس؟!! بلاش جنان.;surprise;0;13;24;جدعان ممسوك 68 كيلو حشيش متلبس يطلع ازاي بس؟ بلاش جنان
268;هل هناك وجع اقسي من ان يقف الكلام بين فمك وحنجرتك ان اظهرته ندمت وان ابقيته تالمت .💔 . . . 🌸🍃;sadness;3;22;24;وجع اقسي ان يقف الكلام فمك وحنجرتك ان اظهرته ندمت وان ابقيته تالمت 💔 🌸🍃
269;معاكي بس انا سؤالي من البدايه هو رايح الاوليمبياد ليه ؟؟ يجيب ميداليه واللا ياخد موقف سياسي ؟;surprise;0;18;21;معاكي انا سؤالي البدايه رايح الاوليمبياد ليه ؟؟ يجيب ميداليه واللا ياخد موقف سياسي ؟
270;ذوبان روح في روح ليكونان جسداً واحد;love;0;7;16;ذوبان روح روح ليكونان جسدا
271;احمد ابو غوش قطّع الواد الروسي في النهائي . اول ذهبيه واول ميداليه علي الاطلاق تحققها الاردن في تاريخ الاوليمبياد .;joy;0;21;25;احمد ابو غوش قطع الواد الروسي النهائي اول ذهبيه واول ميداليه علي الاطلاق تحققها الاردن تاريخ الاوليمبياد
272;sultanh95   ii270 شكلك خايفه من مدرب الدجاج;fear;0;7;28;sultanh95 ii270 شكلك خايفه مدرب الدجاج
273;محاكمه عسكريه. لكل من يحاول ان يمس مقدرات وطننا الغالي. باحتكار الدولار او الاتجار به في السوق السوداء.  افرم يا سيسي.  مفيهاش هزار.;anger;0;23;25;محاكمه عسكريه لكل يحاول ان يمس مقدرات وطننا الغالي باحتكار الدولار او الاتجار السوق السوداء افرم سيسي مفيهاش هزار
274;احترم ابو اربع وثلاث سنين عشان اهلهم مايزعلون علي 💔;sadness;1;10;18;احترم ابو اربع وثلاث سنين عشان اهلهم مايزعلون علي 💔
275;اخواننا في جنوب  اليمن كان الله في عونهم علي ما هم فيه ، فـ الوضع عندهم كل يوم يزداد صعوبه ولا نري اي وجود للشرعيه علي الارض ...;sympathy;0;28;23;اخواننا جنوب اليمن الله عونهم علي ، فـ الوضع عندهم يوم يزداد صعوبه نري اي وجود للشرعيه علي الارض
276;شكراً لانك في حياتي ، شكراً لانك حياتي  صباح الحب ?;joy;0;11;16;شكرا لانك حياتي ، شكرا لانك حياتي الحب
277;mujawir   معني كلامه بشار مجني عليه والشعب السوري هو الجاني! جزائري متشيع فضحته الثوره السوريه علي حقيقته!!;anger;0;17;31;mujawir معني كلامه بشار مجني والشعب السوري الجاني جزائري متشيع فضحته الثوره السوريه علي حقيقته
278;فعلا الحياء والعفه تشمل كلا من الرجال والنساء وهي احدئ صفات الانبياء  اللهم ارزق نساءنا عفه فاطمه عليها السلام;love;0;19;25;فعلا الحياء والعفه تشمل الرجال والنساء وهي احدئ صفات الانبياء اللهم ارزق نساءنا عفه فاطمه عليها السلام
279;الدموع رافضه تنزل  والقلب حالف مايبطل;sadness;0;6;19;الدموع رافضه تنزل والقلب حالف مايبطل
280;مفيش احسن من الشخص اللي يفهمك وانت زعلان حتي لو ضحكت ❤;joy;1;12;20;مفيش احسن الشخص اللي يفهمك وانت زعلان حتي ضحكت ❤
281;:  كلنا سلمان جهود اسطورتي ابو فهد اكبر من الكلام لله دره من قائد عظيم;joy;0;15;22;كلنا سلمان جهود اسطورتي ابو فهد اكبر الكلام لله دره قائد عظيم
282;صباح العسل والقشطه ازاي بس .... وانت مصحيني من احلي نومه 😒👊;surprise;2;12;21;العسل والقشطه ازاي وانت مصحيني احلي نومه 😒👊
283;: بدات بقطاع المقاولات ولكن لن تنتهي عنده وستشهد نسب البطاله قفزات كبيره ان لم يتم ضخ اموال انعاش للاقتصاد الداخلي .  افلاس الشر…;fear;0;24;26;بدات بقطاع المقاولات تنتهي عنده وستشهد نسب البطاله قفزات كبيره ان يتم ضخ اموال انعاش للاقتصاد الداخلي افلاس الشر…
284;ورايا امتحان ابن جزمه كمان خمس ساعات و مش ناقصه;anger;0;10;20;ورايا امتحان ابن جزمه كمان ساعات مش ناقصه
285;al hasi الله يربحك خايفه من غادي ماتزيدها😭😭😭😭;fear;4;8;23;al hasi الله يربحك خايفه غادي ماتزيدها😭😭😭😭
286;KSA: لاعب نادي  النصر يضيّع ضربه جزاء ! ويضربها بطريقه غريبه !  نادي النصر  الهلال  الشباب  الاهلي  الاتحاد  الاتحاد;anger;0;19;28;KSA لاعب نادي النصر يضيع ضربه جزاء ويضربها بطريقه غريبه نادي النصر الهلال الشباب الاهلي الاتحاد الاتحاد
287;بهواك ♡♥;joy;1;2;8;بهواك ♡♥
288;: اللَّهُمَّ وَحِّدْ صَفَّهُم ، وَاجْمَعْ كَلِمَتَهُم ، وَرُدَّهُم اِلَيْكَ رَدَّاً جَمِيلاً .  بورما;sympathy;0;14;26;اللهم وحد صفهم ، واجمع كلمتهم ، وردهم اليك ردا جميلا بورما
289;اللي عندهم وقت يتابعوا كل العاب الاوليمبياد دول اكتر ناس الفراغ نايكهم;none;0;12;18;اللي عندهم وقت يتابعوا العاب الاوليمبياد دول اكتر ناس الفراغ نايكهم
290;خايف اتعـود علي الدنيا بدونك ، هذا اغـرب خوف مـر بـحياتي !;fear;0;12;22;خايف اتعـود علي الدنيا بدونك ، اغـرب خوف مـر بـحياتي
291;sewaj لا والله انا متعاطف مع المسلم بغض النظر عن الدين ! ولم اصوت للعابد لانه لايستحق !;sympathy;0;18;28;sewaj والله انا متعاطف المسلم بغض النظر الدين ولم اصوت للعابد لانه لايستحق
292;جنود بريطانيون يرمون اوسمتهم امام مبني الحكومه لا يمكننا ان نجني السلام ونحن نقتل مدنيين بحجه  داعش وعلي  بريطانيا بالانسحاب من التحالف الدولي;sadness;0;23;21;جنود بريطانيون يرمون اوسمتهم امام مبني الحكومه يمكننا ان نجني السلام ونحن نقتل مدنيين بحجه داعش وعلي بريطانيا بالانسحاب التحالف الدولي
293;yousef استاذ وسيم شوف تركي الحمد الي اضفته ضايف هذا اساطير الاولين الي يطعن في القران ويستهزا به ضايف ملحد;anger;0;20;29;yousef استاذ وسيم شوف تركي الحمد الي اضفته ضايف اساطير الاولين الي يطعن القران ويستهزا ضايف ملحد
294;محمد يوسف بطل مصر يغيب عن الاوليمبياد فقط لانه ارتدي تيشيرت يحمل شاره رابعه في بطوله العالم منذ عامين;none;0;19;22;محمد يوسف بطل مصر يغيب الاوليمبياد فقط لانه ارتدي تيشيرت يحمل شاره رابعه بطوله العالم عامين
295;والله الرفعه دي غلط معلق مصري علي الاوليمبياد .. يا رب الصوت يتقطع;none;0;13;18;والله الرفعه دي غلط معلق مصري علي الاوليمبياد رب الصوت يتقطع
296;لما يكون الحال      اجسام بغال واحلام عصافير      ستكثر امثال انا تو مخلص صايح ????????????.. الله يهديه  الرومانسيه الكاذبه  انا تو مخلص صايح;anger;0;22;25;يكون الحال اجسام بغال واحلام عصافير ستكثر امثال انا تو مخلص صايح الله يهديه الرومانسيه الكاذبه انا تو مخلص صايح
297;فليطح كل كلامه عن الرمايه ، يقول ناديهم دعمهم خلال الاوليمبياد .. انزين و السباحه ؟ و مبارزه الشيش؟;none;0;19;24;فليطح كلامه الرمايه ، يقول ناديهم دعمهم خلال الاوليمبياد انزين السباحه ؟ مبارزه الشيش؟
298;: نبارك لكم ميلاد ✋ انيس النفوس ???????? علي بن موسي ???? الرضا عليه السلام ????;love;1;16;19;نبارك ميلاد ✋ انيس النفوس علي بن موسي الرضا السلام
299;: وما  الحُب الا ان تخاف  الله فيمن  تُحب✋💕;love;2;9;17;الحب الا ان تخاف الله فيمن تحب✋💕
300;اشيلك من بالي؟؟؟;surprise;0;3;10;اشيلك بالي؟؟؟
301;بقي انتوا قاعدين تتفرجوا علي الاوليمبياد وتتمنيكوا علي بعض وانا العرق بعبيه ف ازايز ياولاد الشراميط يا مدنيين.;anger;0;18;22;بقي انتوا قاعدين تتفرجوا علي الاوليمبياد وتتمنيكوا علي وانا العرق بعبيه ازايز ياولاد الشراميط مدنيين
302;اللي مستني ان مصر تتاهل للدور التاني في الاوليمبياد في اليد، يا ريت ياخد حبيتين اسبرين وينام;sadness;0;17;18;اللي مستني ان مصر تتاهل للدور التاني الاوليمبياد اليد، ريت ياخد حبيتين اسبرين وينام
303;: ليس ذاك الشيء الذي تبحث عنه وقت فراغك او بعد منتصف الليل ان احببت بصدق ستجد نفسك مع من تحب طيله الوقت !;love;0;24;28;الشيء تبحث عنه وقت فراغك او منتصف الليل ان احببت بصدق ستجد نفسك تحب طيله الوقت
304;لا ده اسمه علي اسم الغالي اسمه احمد **;joy;0;9;12;ده اسمه علي اسم الغالي اسمه احمد
305;يعني انتهت سوريا وصارت دويلات  هههههههه هههههههههه هههههههههه  ياسلاااااااااااااام  . ولين الان لم اسمع اي  تنديد عربي  يا سلاااااااااااام;sadness;0;19;16;يعني انتهت سوريا وصارت دويلات هههههههه هههههههههه هههههههههه ياسلاااااااااااااام ولين الان اسمع اي تنديد عربي سلاااااااااااام
306;الله يعينك وانا اخوك ... انا بصراحه متعاطف معك الي ابعد درجه ... مو عشان حالتك لان حالتك مرضيه وطبيعيه ولها علاج .. 1;sympathy;0;24;24;الله يعينك وانا اخوك انا بصراحه متعاطف معك الي ابعد درجه مو عشان حالتك لان حالتك مرضيه وطبيعيه ولها علاج 1
307;انحدرت اميركا علي ايدي ايدي بوش من امه عظيمه الي دوله ارهابيه ظلاميه فاشله وحقيره متخلفه منذ ان تحالفت مع ايران...;anger;0;21;22;انحدرت اميركا علي ايدي ايدي بوش امه عظيمه الي دوله ارهابيه ظلاميه فاشله وحقيره متخلفه ان تحالفت ايران
308;ب مُختصـر الكـلام انـا بخيـر لانـك بقلبـي .. ❤️;love;1;9;18;مختصـر الكـلام انـا بخيـر لانـك بقلبـي ❤️
309;لا صوت يعلو فوق صوت الاوليمبياد;none;0;6;13;صوت يعلو صوت الاوليمبياد
310;يعني الهو مش فاهمين هو كده!;surprise;0;6;14;يعني الهو مش فاهمين كده
311;عايز اعرف ناس جديده بس خايف يطلعوا زي اللي قبلهم.;fear;0;10;20;عايز اعرف ناس جديده خايف يطلعوا زي اللي قبلهم
312;: يامن كنت اتمناها ان تاتي في الاحلام حلمت بك تمنيتك تخيلتك فوجدتك حقيقه كما رايتها في الاحلام رايتك بسمه فرحه عشق سهل ا…;love;0;24;23;يامن كنت اتمناها ان تاتي الاحلام حلمت تمنيتك تخيلتك فوجدتك حقيقه رايتها الاحلام رايتك بسمه فرحه عشق سهل ا…
313;ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني .. دا انا كنت في حبك من الاول ابليس متعشم في الجنه;surprise;0;23;21;ماهو خلص الفيلم اللي كتبته علي عكس كنت انا بتمني دا انا كنت حبك الاول ابليس متعشم الجنه
314;صباح الورد جميعا  مدينه الشيخ زايد;joy;0;6;18;الورد جميعا مدينه الشيخ زايد
315;الحب عباره عن مجموعه من العواطف المتداخله  كالوان قوس قزح.. فلا يعرف  العاشق في مجال اي لون هو قابع... اتراه…;love;0;20;25;الحب عباره مجموعه العواطف المتداخله كالوان قوس قزح يعرف العاشق مجال اي لون قابع اتراه…
316;يا اسفي علي من كانوا كل فرحتي وقوتي تالم يا قللي تالم;sadness;0;12;15;اسفي علي كانوا فرحتي وقوتي تالم قللي تالم
317;المصريين رايحين الاوليمبياد عشان يتصوروا ويرجعوا !;surprise;0;7;17;المصريين رايحين الاوليمبياد عشان يتصوروا ويرجعوا
318;دايم احساسي صح جدا خايفه.;fear;0;5;13;دايم احساسي صح جدا خايفه
319;ثوره الغلابه ثوره الغلابه ستكون اكثر تعاطفا لدي الشعوب الاسلاميه والعربيه من جميع الثورات التي حصلت في مصر اثناء الربيع العربي;sympathy;0;21;24;ثوره الغلابه ثوره الغلابه ستكون اكثر تعاطفا لدي الشعوب الاسلاميه والعربيه الثورات حصلت مصر اثناء الربيع العربي
320;ومش عارف عشان اتنَسيت .. ولا زعلان عشان  بقيت وحدڪ 󾍀 ❤ .;sadness;1;13;23;ومش عارف عشان اتنسيت زعلان عشان بقيت وحدڪ 󾍀 ❤
321;regular: يُبرحنا العشقُ وجعاً ... ولا نتوب  حقيقه  بوح  بقلمي  العشق  الم  وجع  بوح قلم;love;0;15;26;regular يبرحنا العشق وجعا نتوب حقيقه بوح بقلمي العشق الم وجع بوح قلم
322;عن الحب يقول الشاعر  انصح المتزوج بالتعدد ،   روي لي جدي وحذرني منه ! وبكي صديقي امامي بسببه ومع ذلك مارست سذاجه الرجال ووقعت به .! 💔;love;1;27;26;الحب يقول الشاعر انصح المتزوج بالتعدد ، روي جدي وحذرني وبكي صديقي امامي بسببه ومع مارست سذاجه الرجال ووقعت 💔
323;: احمد الفريدي كيف كان مع الهلال  و الان كيف!  نادي قذر تعصب تخلف ????????  دوره تبوك الدوليه   النصر الوداد;anger;0;20;23;احمد الفريدي الهلال الان نادي قذر تعصب تخلف دوره تبوك الدوليه النصر الوداد
324;الاوليمبياد هي من فقدتك 💔✋;sadness;2;5;16;الاوليمبياد فقدتك 💔✋
325;اقسم بالله منا عارف منتخبنا دا بيفوز ازاي😂 بس هي دعوات المصرين 😂😂;surprise;3;13;20;اقسم بالله منا عارف منتخبنا دا بيفوز ازاي😂 دعوات المصرين 😂😂
326;نساء الاولمبياد لايمثلوننا فعلا ، الرياضه قناع لما ورائه.  الرياضه للجميع و كل مجتمع له ضوابطه. ذريعه  الاوليمبياد طاشت منها العقول، كفي ✋;sadness;1;23;28;نساء الاولمبياد لايمثلوننا فعلا ، الرياضه قناع ورائه الرياضه للجميع مجتمع ضوابطه ذريعه الاوليمبياد طاشت العقول، كفي ✋
327;MhMd : خايفه من كل الناس ومش عارفه اتعامل مع حد ولا عاوزه حتي اجرب اتعامل مع ناس تاني ،،،، انا مش كويسه ومش هبقي ....;fear;0;26;28;MhMd خايفه الناس ومش عارفه اتعامل حد عاوزه حتي اجرب اتعامل ناس تاني ،،،، انا مش كويسه ومش هبقي
328;: تحيه اجلال وتقدير للشعب السعودي الصامد نحن معكم ضد جشع شركات الاتصال  اليوم 75 stc راح نفلسكم;sympathy;0;18;28;تحيه اجلال وتقدير للشعب السعودي الصامد معكم ضد جشع شركات الاتصال اليوم 75 stc نفلسكم
329;تنديد واسع بمهاجمه ترامب عائله جندي اميركي: يتعرض المرشح الجمهوري للانتخابات الاميركيه دونالد ترامب الي هجوم متعدد…;anger;0;17;23;تنديد واسع بمهاجمه ترامب عائله جندي اميركي يتعرض المرشح الجمهوري للانتخابات الاميركيه دونالد ترامب الي هجوم متعدد…
330;قمه الظلم والتسلط والحقاره، اسال الله ان يرحم ضعف سكان الموصل، وان يقيض لهم من ينصرهم;sympathy;0;16;21;قمه الظلم والتسلط والحقاره، اسال الله ان يرحم ضعف سكان الموصل، وان يقيض ينصرهم
331;اما نستضيف الاوليمبياد ... نبقي نعمل مسابقات التجديف ف قناه السويس 😂;none;1;12;19;اما نستضيف الاوليمبياد نبقي نعمل مسابقات التجديف قناه السويس 😂
332;:  سعوديات نطالب باسقاط الولايه7 انا بس حزينه ع تربيه الام السعوديه ليش تربي بنتها انها تحتقر نفسها! معقوله بنات مواليد 90 ومتربين…;sadness;0;23;26;سعوديات نطالب باسقاط الولايه7 انا حزينه تربيه الام السعوديه ليش تربي بنتها انها تحتقر نفسها معقوله بنات مواليد 90 ومتربين…
333;مفيش تحقيق مع الواد الاهبل اللي رفع علم السعوديه في افتتاح الاوليمبياد ولا مع رئيس االبعثه ولا قرار باعاده اللاعب لمصر مع عرضه علي طبيب نفسي;none;0;26;23;مفيش تحقيق الواد الاهبل اللي رفع السعوديه افتتاح الاوليمبياد رئيس االبعثه قرار باعاده اللاعب لمصر عرضه علي طبيب نفسي
334;salyy: فقدنا الكثير من الكلام ،، والكثير من البكاء ،، ولم يتبقي الا الصمت ،، الذي نعامل فيه بعضنا البعض .;sadness;0;21;28;salyy فقدنا الكثير الكلام ،، والكثير البكاء ،، ولم يتبقي الا الصمت ،، نعامل بعضنا البعض
